의원명,지역,진료과,전화,홈페이지,이메일,운영형태,핵심후크,상태메모,우선순위,접촉일,채널,응답,다음액션
백피부과의원,마포구 동교동,피부과,02-334-1484,없음,해당없음,단독개원,홈페이지 없음 → 검색노출 진단으로 전환,공식 홈페이지가 검색으로 확인되지 않음. 검수 리포트 사용 불가. 주소: 연희로 5 2층,4,,,,
다미의원 마포점,마포구 공덕동,피부과(전문의 미등재),미확보,http://www.damiskinmapo.com/,미확인,단독개원(추정),HTTPS 완전 미작동 — 자체서명 더미 인증서,"https 접속 실패(000). 응답 인증서가 O=My Company Ltd / L=Newbury Berkshire, 유효기간 2017-04-13~2117-03-20(100년) — 호스팅 서버 기본 자체서명 더미 인증서. 실제 CA 발급 인증서는 최대 1년. http는 302 후 200. 추가: tel 링크 없음, 개인정보처리방침 없음, 375px 가로스크롤. 심평원 피부과 전문의 목록에는 없음",1,,,,
퍼스트피부과의원,마포구 공덕동,피부과,02-707-3555,http://firstskin.kr/,미확인,단독개원(추정),개인정보처리방침 없음 + tel 링크 없음,"인증서 정상(2026-03-29~2026-10-12). 개인정보처리방침 링크 없음, tel 링크 없음. 페이지 최대연도 2021(연도 판정은 스크립트 한계로 불신 — 푸터 직접 확인 필요). 원장 양유진. 주소 백범로31길 7 공덕SK리더스뷰 상가 1동 106호",2,,,,
페이스피부과의원,마포구 도화동,피부과,02-6951-0888,https://faceskin.co.kr/,미확인,단독개원(추정),모바일 레이아웃 깨짐 + tel 링크 없음,"인증서 정상(2025-09-16~2026-09-16). 375px 가로스크롤 발생, tel 링크 없음. 개인정보처리방침 있음",2,,,,
마포공덕에스앤유피부과의원,마포구 공덕동,피부과,02-706-5250,미조사,미확인,체인(에스앤유),미조사,심평원 목록. 전문의 3/4명. 에스앤유 네트워크로 본사 관리 가능성,5,,,,
에스앤유피부과의원,마포구 공덕동,피부과,02-706-5252,미조사,미확인,체인(에스앤유),미조사,심평원 목록. 전문의 3/3명,5,,,,
어썸피부과의원,마포구 노고산동,피부과,심평원 미등재,미조사,미확인,단독개원(추정),미조사,심평원 목록에 전화번호 없음. 전문의 1/1명,5,,,,
연세지움피부과의원,마포구 노고산동,피부과,02-333-0606,미조사,미확인,단독개원(추정),미조사,심평원 목록. 전문의 1/1명,5,,,,
이지함피부과의원,마포구 대흥동,피부과,02-706-7600,미조사,미확인,체인(이지함),미조사,심평원 목록. 전문의 2/2명. 이지함 네트워크,5,,,,
미소가인피부과의원,마포구 도화동,피부과,02-704-9077,http://www.misogain.co.kr/ (아현점 /ah/ 는 404),미확인,체인(미소가인 네트워크),HTTPS 완전 미작동(자체서명 더미) + 아현점 페이지 404,"https 접속 실패(000). 응답 인증서 O=My Company Ltd / L=Newbury Berkshire, 2017-04-13~2117-03-20 — 다미의원과 발급시각(00:34:41)까지 완전 동일 = 같은 호스팅 서버의 기본 더미 인증서. 검색에 노출되는 아현점 URL http://www.misogain.co.kr/ah/ 가 HTTP 404 — 환자가 클릭하면 오류 화면. viewport 없음, tel 링크 없음, 방침 없음",1,,,,
마인드피부과의원,마포구 동교동,피부과,02-333-3133,https://mindskin.co.kr/,미확인,단독개원(추정),개인정보처리방침 없음 + tel 링크 없음,"인증서 정상(2026-06-12~2026-12-27). 개인정보처리방침 링크 없음, tel 링크 없음. 그누보드 계열(/theme/mindskinc/sub01/sub0102.php). 전문의 2/2명",2,,,,
나의미래피부과의원,마포구 상암동,피부과,02-375-0500,미조사,미확인,단독개원(추정),미조사,심평원 목록. 전문의 1/1명. 주소 월드컵북로 381,5,,,,
클린앤미피부과의원,마포구 상암동,피부과,02-307-3375,미조사,미확인,단독개원(추정),미조사,심평원 목록. 전문의 1/1명,5,,,,
피부사랑피부과의원,마포구 성산동,피부과,02-711-9757,http://www.skinlover.co.kr/,미확인,단독개원(제작사 네오차트 추정),HTTPS 미작동 — 인증서 도메인 불일치,"https 접속 실패(000). 응답 인증서가 CN=post2.neochart.co.kr — 의료 홈페이지 제작사 네오차트 서버 인증서가 응답해 도메인 불일치. http만 200. 나머지는 양호: viewport O, tel 링크 2개, 방침 O. 같은 제작사 고객 의원에 동일 문제 있을 가능성 → 리드 발굴 지렛대",1,,,,
공덕멜로우피부과의원,마포구 신공덕동,피부과,02-716-1368,미조사,미확인,단독개원(추정),미조사,심평원 목록. 전문의 1/1명,5,,,,
비앤씨피부과의원,마포구 신공덕동,피부과,02-3144-4333,미조사,미확인,단독개원(추정),미조사,심평원 목록. 전문의 1/1명,5,,,,
아로하피부과의원,마포구 아현동,피부과,02-6952-4880,https://www.alohaskin.co.kr/,미확인,단독개원(추정),"모바일 가로스크롤 + tel 링크 없음 (단, 최근 갱신 흔적)","인증서 발급 2026-07-24 — 조사일 기준 6일 전. 최근 사이트를 손봤거나 신규 구축했을 가능성이 높아 리뉴얼 수요는 낮게 본다. 375px 가로스크롤, tel 링크 없음, 방침 O. 전문의 3/4명으로 마포 단독개원 중 규모 상위",3,,,,
오르다피부과의원,마포구 아현동,피부과,02-363-8884,미조사,미확인,단독개원(추정),미조사,심평원 목록. 전문의 1/1명,5,,,,
필그린피부과의원,마포구 아현동,피부과,02-362-7582,미조사,미확인,단독개원(추정),미조사,심평원 목록. 전문의 1/1명,5,,,,
