학원명,구,과목,전화,홈페이지,이메일,상태메모,우선순위,접촉일,채널,응답,다음액션
누나영아카데미어학원,서초구,영어회화(성인),02-6053-5884,https://englishforeveryone.kr/,nnyenglish@hanmail.net,"반응형 사이트, 사업자·학원등록번호 게시. 이메일 확보. 정원 6~120명(과정별)",C,,,,
디자인스럽,마포구,미술·디자인(입시 포트폴리오),02-323-4195,http://designslove.co.kr/,bbearr@naver.com,"푸터 'copyright 2019' — 6년 이상 갱신 흔적 없음. 사업자등록번호 574-05-02955 게시. 노고산동 소재",B,,,,
아이엠실용음악학원,마포구,실용음악(작곡·보컬),02-336-8218,http://iammusic.co.kr/,cliche1015@naver.com,"푸터 'Copyright by 2017' — 9년 전 제작 후 방치. 서교동·합정동 등 복수관 운영. 이메일은 브라우저 렌더링 후에만 노출",B,,,,
언리미티드실용음악학원,마포구,실용음악,070-7799-1008,http://www.ulmuzik.com/,ulmuzik1008@naver.com,"워드프레스 기반. 이메일이 Cloudflare 난독화로 감춰져 있어 실브라우저로 복호화 확인. 갤러리 최신 자료가 2021년 — 콘텐츠 정체",B,,,,
흑과백미술학원,마포구,미술(조소 입시),02-324-2153,https://bandw.co.kr/,bandw2153@naver.com,"식스샵(Sixshop) 기반 반응형. 최신 게시물이 '2022 합격자 명단' — 이후 갱신 없음. 와우산로 155",B,,,,
디자인쏘울,마포구,미술(입시·디자인),02-323-5061,http://design-soul.com/,dsoulcampus@gmail.com,"반응형, 푸터에 사업자등록번호 128-94-39103·대표자 게시. 카피라이트 연도 미표기. 와우산로 105 2~4층",C,,,,
아트폴미술학원,마포구,미술(무대미술·입시),02-332-2060,http://artfol.net/,artfol@naver.com,"반응형, 학원등록번호 제A0220160084호 게시. 신촌로14길 태인빌딩 2층. 공개 대표번호만 수집(병기된 휴대폰번호는 제외)",C,,,,
에스제이에이(SJA)실용음악학원,마포구,실용음악,02-764-8843,https://www.sja-musicedu.com/,master6265@sja.co.kr,"반응형. 이메일은 홈페이지에 없고 개인정보처리방침 페이지에만 게시(FAX 02-742-1068 병기). 와우산로25길 웨스트브릿지",C,,,,
아베크뮤직아카데미 홍대캠퍼스,마포구,실용음악(보컬·작곡·미디),1577-2507,https://www.avecmusic.co.kr/,company@avecmusic.co.kr,"푸터 'COPYRIGHT 2023', 반응형 캠퍼스 셀렉터형 사이트. 전화는 전 캠퍼스 공용 대표번호라 홍대캠퍼스 직통 아님",C,,,,
베블렌수학학원,서초구,수학(초중고·경시),02-533-9184,http://mveblenmath3.dgweb.kr/,veblenmath@naver.com,"푸터 'Copyright © 2015 (주)베블렌교육' — 11년 전 사이트. 임대 도메인(dgweb.kr) 사용 중이라 자체 도메인 부재",B,,,,
그룹티아이연기학원,서초구,연기(연극·뮤지컬·오페라),02-540-1616,http://adult.groupti.co.kr/,groupti@naver.com,"Superboard 기반 반응형, 2026년 8·9월 개강 공지 게시 중. 이메일은 개인정보처리방침(/doc/private)에만 게시",C,,,,
대치동조쌤국어학원,강남구,국어·논술,02-552-2686,https://xn--3e0bs9hvsas88b05c69em0m.com/,cchossam@naver.com,"viewport 메타 태그 없음 = 모바일 미대응. 공지는 2026-07 갱신 중이라 콘텐츠는 활발 — '관리는 하는데 폰에서 안 보이는' 유형. 한글 도메인",B,,,,
베테랑미술학원,강남구,미술(회화 입시),02-569-0122,http://artveteran.com/,vtr@artveteran.com,"그누보드 기반 반응형, 최신 공지 2026-07-14(여름특강). 푸터에 '대표 이메일' 명시",C,,,,
비씨컬리지잇서초어학원,서초구,영어(미국교과서·AP·ACT),02-2135-2000,https://www.lsbccollegiate.org/,info@bcacanada.org,"현행 사이트는 본문 961자짜리 스플래시 수준. 병행 도메인 bccollegiate.org는 Chromium에서도 인증서 오류(ERR_CERT_AUTHORITY_INVALID) 재현 — 보안경고 노출. 구 modoo 사이트는 2025-06-26 종료",B,,,,
