우선순위,결함수,템플릿,요양기관명,시도,시군구,홈페이지,전화,후크전체,발송문구,발송일,회신,다음액션
2,4,A,김지훈피부과의원,경기,수원팔달구,http://www.skin7576.com/,031-222-7576,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

김지훈피부과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,도도의원,경기,수원팔달구,http://www.dodoclinic.com/,031-293-7575,HTTPS 미설정(http로만 접속) / 모바일 가로스크롤 발생 / 개인정보처리방침 없음 / 푸터 카피라이트 2018 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

도도의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 화면이 좌우로 밀리는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,스위스의원,경기,수원팔달구,http://www.swissbeauty.co.kr/,031-241-1175,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2018 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

스위스의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,김준범성형외과의원,경기,시흥시,http://www.facebeauty.co.kr/,031-488-9100,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2015 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

김준범성형외과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,메이퀸이지은산부인과의원,경기,안산단원구,http://www.ilovewoman.co.kr/,031-401-7777,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

메이퀸이지은산부인과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,비에이성형외과의원,경기,안산단원구,http://bclinic.co.kr/main/main.php?,031-485-7575,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

비에이성형외과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,예플러스이비인후과의원,경기,안산단원구,http://www.yeent.com/,031-405-6780,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

예플러스이비인후과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,B,스페셜성형외과의원,경기,안양동안구,http://www.specialclinic.co.kr/,031-385-4450,tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 개인정보처리방침 없음 / 푸터 카피라이트 2021 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

스페셜성형외과의원 홈페이지의 전화번호가 눌러서 전화를 걸 수 있는 형태가 아니라 글자로만 표시되어 있습니다.

휴대폰으로 보시는 분이 번호를 눌러도 아무 일이 일어나지 않아, 번호를 따로 옮겨 적어 전화 앱에 입력해야 합니다. 진료 문의가 대부분 전화로 들어오는 만큼 이 단계에서 이탈이 생깁니다.

간단한 수정으로 해결됩니다.

이 외에 휴대폰에서 화면이 좌우로 밀리는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,손내과의원,경기,안양만안구,http://www.drson.co.kr/,031-446-2288,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

손내과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,길내과의원,경기,의정부시,http://www.medkil.com/index.asp,031-844-4667,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

길내과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,대영성형외과의원,서울,강남구,http://www.dyclinic.com/,3446-7788,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

대영성형외과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,마이디피부과의원,서울,강남구,http://www.mydskin.co.kr/,576-5033,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

마이디피부과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,벧엘피부과의원,서울,강남구,http://bethelskin.com/,02-532-3110,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2013 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

벧엘피부과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,봉봉성형외과의원,서울,강남구,http://www.bongbongclinic.com/,02-542-3100,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

봉봉성형외과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,비아이오성형외과의원,서울,강남구,http://www.biops.kr/,02-535-9000,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 푸터 카피라이트 2019 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

비아이오성형외과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,서울배내과의원,서울,강남구,http://doctorbae.co.kr/,02-529-3002,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2018 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

서울배내과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,스마트맨의원,서울,강남구,http://www.smartmc.co.kr/,586-5861,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / viewport 없음 — 모바일 미대응 / 개인정보처리방침 없음,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

스마트맨의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
2,4,A,아이라인성형외과의원,서울,강남구,http://www.ilines.co.kr/,02-540-8666,HTTPS 미설정(http로만 접속) / tel: 링크 없음 — 휴대폰에서 전화 연결 안 됨 / 모바일 가로스크롤 발생 / 푸터 카피라이트 2019 — 방치 인상,"안녕하세요. 환자 문의가 아니라, 홈페이지 관련해 알려드릴 것이 있어 남깁니다.

아이라인성형외과의원 홈페이지에 https:// 로 접속하면 보안 인증서 오류로 경고 화면이 뜨고, http:// 로만 정상 접속됩니다.

요즘 브라우저는 주소를 입력하면 https 부터 시도하기 때문에 환자분에 따라 경고 화면을 먼저 보게 됩니다. http 로 열려도 주소창에 ""안전하지 않음""이 표시됩니다.

무료 인증서로도 해결됩니다.

이 외에 휴대폰에서 전화번호를 눌러도 연결되지 않는 점도 함께 확인해 보시면 좋겠습니다.

관리 업체에 그대로 전달하시면 됩니다. 제게 회신하지 않으셔도 괜찮습니다.

웅쓰컴퍼니 / woongs.official@gmail.com",,,
